title,author,url,paid_type,listens,category,cate_crawl_time
运营升阶笔记,中信书院,https://www.ximalaya.com/album/70838611,vip,2880,shangye,2022-10-17 22:44:19
严谨【投研】学习社区,严谨投研,https://www.ximalaya.com/album/71029752,paid,1651,shangye,2022-10-17 22:44:19
巴菲特的护城河：降低风险、提高获利的股市真规则,中资学院,https://www.ximalaya.com/album/70812764,paid,366,shangye,2022-10-17 22:44:19
宏观经济理论与实践,中智信达频道,https://www.ximalaya.com/album/70862414,paid,368,shangye,2022-10-17 22:44:19
实体数字化商业转型方案,中智信达频道,https://www.ximalaya.com/album/70830520,paid,89,shangye,2022-10-17 22:44:19
日本企业团队工作法：团队建设 企业管理|追求极致,华阅学习社,https://www.ximalaya.com/album/71119377,vip,644,shangye,2022-10-17 22:44:19
世界500强销售总监管理日志,喜马AI酱,https://www.ximalaya.com/album/71367431,vip,274,shangye,2022-10-17 22:44:19
钱说话,喜马AI酱,https://www.ximalaya.com/album/71367732,vip,158,shangye,2022-10-17 22:44:19
宗庆后,喜马AI酱,https://www.ximalaya.com/album/71367514,vip,48,shangye,2022-10-17 22:44:19
周导讲裂变方案：业绩增长10倍速,周导官方账号,https://www.ximalaya.com/album/71167473,vip,147,shangye,2022-10-17 22:44:19
人脉决定命脉,喜马AI酱,https://www.ximalaya.com/album/71353798,vip,8,shangye,2022-10-17 22:44:19
金灿荣：中国周边安全环境10讲|中外关系,前沿讲座频道,https://www.ximalaya.com/album/70550868,vip,1871000,shangye,2022-10-17 22:44:19
周导共享盈利：赚钱增长快车道|盈利模式,周导官方账号,https://www.ximalaya.com/album/71282493,vip,81,shangye,2022-10-17 22:44:19
温铁军：从老冷战到新冷战|金融学|经济学,前沿讲座频道,https://www.ximalaya.com/album/70655513,vip,285000,shangye,2022-10-17 22:44:19
齐俊杰看财经，老齐独家投资理财内参 【讲书+正版音频节目】,齐俊杰看财经,https://www.ximalaya.com/album/70637541,vip,191000,shangye,2022-10-17 22:44:19
今日股市（王斌）,王斌32160470,https://www.ximalaya.com/album/2881558,free,4437000,shangye,2022-10-17 22:44:19
齐俊杰看财经,齐俊杰看财经,https://www.ximalaya.com/album/4512647,free,23400000000,shangye,2022-10-17 22:44:19
雪球·财经有深度,雪球,https://www.ximalaya.com/album/299146,free,4370000000,shangye,2022-10-17 22:44:19
老丁说股,老丁说股,https://www.ximalaya.com/album/4292636,free,10460000000,shangye,2022-10-17 22:44:19
每日大盘预判 | 华飞 | 深度·实战·干货,华飞看盘,https://www.ximalaya.com/album/3652352,free,1470000000,shangye,2022-10-17 22:44:19
《人类简史》晓书童解读,晓书童频道,https://www.ximalaya.com/album/12650266,free,1201000,shangye,2022-10-17 22:44:19
货币战争（1-5册全集）|启迪未来全球金融格局【晨风有声】,晨风有声,https://www.ximalaya.com/album/2805928,free,34175000,shangye,2022-10-17 22:44:19
股票知识｜入门到精通,小生聊投资,https://www.ximalaya.com/album/3705693,free,25847000,shangye,2022-10-17 22:44:19
周文强财商思维1000讲,周文强老师,https://www.ximalaya.com/album/11575892,free,1950000000,shangye,2022-10-17 22:44:19
小米创业思考|雷军首部商业思考著作,中信书院,https://www.ximalaya.com/album/70235846,vip,126000,shangye,2022-10-17 22:44:19
基金投资实战：发现好基金,好买研习社,https://www.ximalaya.com/album/8870103,free,71568000,shangye,2022-10-17 22:44:19
财经马红漫 | 市场晚评,马红漫,https://www.ximalaya.com/album/8967284,free,8620000000,shangye,2022-10-17 22:44:19
吴晓波频道,吴晓波频道,https://www.ximalaya.com/album/269179,free,6090000000,shangye,2022-10-17 22:44:19
周文强 | 提升你的财商思维,周文强致富学,https://www.ximalaya.com/album/25426645,free,1984000,shangye,2022-10-17 22:44:19
钱都去哪儿了,财经飞说不可,https://www.ximalaya.com/album/15946230,free,58371000,shangye,2022-10-17 22:44:19
老张说股,涨停哥天团,https://www.ximalaya.com/album/23752752,free,6100000000,shangye,2022-10-17 22:44:19
饭统戴老板 · 硬核财经故事,远川研究所,https://www.ximalaya.com/album/19767954,free,21793000,shangye,2022-10-17 22:44:19
文说股市｜今日股市资金逻辑打法,文说股市,https://www.ximalaya.com/album/16818862,free,3960000000,shangye,2022-10-17 22:44:19
维明说投资,刘维明,https://www.ximalaya.com/album/3300655,free,25848000,shangye,2022-10-17 22:44:19
激荡三十年 | 豆瓣读书 TOP250 榜单好书,蓝狮子FM,https://www.ximalaya.com/album/70551925,vip,109000,shangye,2022-10-17 22:44:19
股市精解丨剖析今日股市热点,短线捉妖常阳君,https://www.ximalaya.com/album/16270252,free,2190000000,shangye,2022-10-17 22:44:19
冬吴同学会 | 第一季,冬吴同学会,https://www.ximalaya.com/album/8475135,free,2620000000,shangye,2022-10-17 22:44:19
冬吴同学会 | 第二季,冬吴同学会,https://www.ximalaya.com/album/16861863,free,9680000000,shangye,2022-10-17 22:44:19
冬吴相对论001-300期,听友1000577,https://www.ximalaya.com/album/552,free,2152000,shangye,2022-10-17 22:44:19
韩秀云经济5分钟,韩秀云讲经济,https://www.ximalaya.com/album/41973522,free,12991000,shangye,2022-10-17 22:44:19
都业华丨股市实战策略分享,益学理财,https://www.ximalaya.com/album/24791643,free,1850000000,shangye,2022-10-17 22:44:19
《水皮杂谈-新辣日评》,水皮杂谈,https://www.ximalaya.com/album/15919089,free,5840000000,shangye,2022-10-17 22:44:19
股票我来聊,股票我来撩,https://www.ximalaya.com/album/23728045,free,67737000,shangye,2022-10-17 22:44:19
冬吴相对论301-400期,听友1000577,https://www.ximalaya.com/album/704,free,8542000,shangye,2022-10-17 22:44:19
谱蓝定投 | 基金理财训练营,盈米谱蓝投顾,https://www.ximalaya.com/album/70832970,vip,2,shangye,2022-10-17 22:44:19
吴晓波讲生活哲学,吴晓波频道,https://www.ximalaya.com/album/70547060,vip,221000,shangye,2022-10-17 22:44:19
吴晓波讲趣味经济学,吴晓波频道,https://www.ximalaya.com/album/70477883,vip,161000,shangye,2022-10-17 22:44:19
吴晓波讲读书心得,吴晓波频道,https://www.ximalaya.com/album/70477755,vip,57000,shangye,2022-10-17 22:44:19
吴晓波、王煜全、秦朔领讲：2022年中产业经济大课,吴晓波频道,https://www.ximalaya.com/album/70549885,paid,2000,shangye,2022-10-17 22:44:19
翟东升：人民币汇率与人民币国际化|金融资本|经济学,前沿讲座频道,https://www.ximalaya.com/album/70635849,vip,26000,shangye,2022-10-17 22:44:19
【元宇宙前传】《浪潮三十年》|中国人的互联网记忆,起个名字叫康康,https://www.ximalaya.com/album/70327841,vip,28000,shangye,2022-10-17 22:44:19
四象课程学习分享,老丁说股,https://www.ximalaya.com/album/70365462,paid,18000,shangye,2022-10-17 22:44:19
布局人生：财富自由之路,龙猫2019,https://www.ximalaya.com/album/70299644,vip,4000,shangye,2022-10-17 22:44:19
斯坦福财商思维：财富自由的90个指南,王小棉Ellie,https://www.ximalaya.com/album/70295724,vip,108000,shangye,2022-10-17 22:44:19
吴晓波讲企业观察,吴晓波频道,https://www.ximalaya.com/album/70477976,vip,57000,shangye,2022-10-17 22:44:19
大崩溃｜当经济危机出现时，我们该怎么做？历史上的世界经济崩溃事件,喜马AI酱,https://www.ximalaya.com/album/70703232,vip,243000,shangye,2022-10-17 22:44:19
失落中的崛起：日本商业的突围与重生,蓝狮子FM,https://www.ximalaya.com/album/70232714,vip,21000,shangye,2022-10-17 22:44:19
心力：创业如何在事与难中精进|俞敏洪推荐|阳明心学的商业智慧,人邮知书,https://www.ximalaya.com/album/70637829,vip,1209,shangye,2022-10-17 22:44:19
元宇宙的本质：人类未来的超级智能系统,中信书院,https://www.ximalaya.com/album/70661708,vip,12000,shangye,2022-10-17 22:44:19
原则|桥水投资大神达利欧40年经验总结,中信书院,https://www.ximalaya.com/album/14621627,vip,393000,shangye,2022-10-17 22:44:19
每天听见吴晓波·精选集,吴晓波频道,https://www.ximalaya.com/album/15774549,vip,13897000,shangye,2022-10-17 22:44:19
客户第一：华为客户关系管理法,人邮知书,https://www.ximalaya.com/album/70638038,vip,787,shangye,2022-10-17 22:44:19
每天听见吴晓波·第六季,吴晓波频道,https://www.ximalaya.com/album/54077502,paid,4344000,shangye,2022-10-17 22:44:19
销售总监进化论,感JUE,https://www.ximalaya.com/album/70706301,vip,3068,shangye,2022-10-17 22:44:19
穷查理宝典,中信书院,https://www.ximalaya.com/album/14496021,vip,522000,shangye,2022-10-17 22:44:19
韩秀云经济5分钟,韩秀云讲经济,https://www.ximalaya.com/album/41973522,free,12992000,shangye,2022-10-17 22:44:19
晓书童频道,晓书童频道,https://www.ximalaya.com/album/4612218,free,59929000,shangye,2022-10-17 22:44:19
大元宝说投资理财,富贵大元宝,https://www.ximalaya.com/album/46896798,free,22514000,shangye,2022-10-17 22:44:19
股票投资入门基础知识 | 财经|理财|经济,老K交易百科,https://www.ximalaya.com/album/44808999,free,12039000,shangye,2022-10-17 22:44:19
逆向投资刘冰,今日谈股论金,https://www.ximalaya.com/album/22791631,free,2470000000,shangye,2022-10-17 22:44:19
国富论,读书狼_既然,https://www.ximalaya.com/album/11789146,free,3436000,shangye,2022-10-17 22:44:19
财务自由之路系列（荣哥演播）| 博多舍费尔经典必读,CV荣哥,https://www.ximalaya.com/album/44168493,free,6766000,shangye,2022-10-17 22:44:19
每天五分钟，基金定投聊通透,威尼斯摆渡人,https://www.ximalaya.com/album/21750275,free,80641000,shangye,2022-10-17 22:44:19
邓浩志地产经济观察,邓浩志地产经济观察,https://www.ximalaya.com/album/5309037,free,15138000,shangye,2022-10-17 22:44:19
每天听见吴晓波·第四季（2019年-2020年）,吴晓波频道,https://www.ximalaya.com/album/28580191,vip,16779000,shangye,2022-10-17 22:44:19
小马哥财道｜更多视角看财经,理财魔方,https://www.ximalaya.com/album/42629474,free,3594000,shangye,2022-10-17 22:44:19
周文强财商全集《精品干货》,周文强财商全集,https://www.ximalaya.com/album/26407964,free,8747000,shangye,2022-10-17 22:44:19
韩叔聊投资 | 每天5分钟轻松学财经,韩叔聊投资,https://www.ximalaya.com/album/47132991,free,6132000,shangye,2022-10-17 22:44:19
周文强老师财商精品课,周文强老师独播音频,https://www.ximalaya.com/album/26371745,free,18886000,shangye,2022-10-17 22:44:19
听秦说,秦朔朋友圈,https://www.ximalaya.com/album/3395197,free,49984000,shangye,2022-10-17 22:44:19
法治的细节 罗翔法律随笔作品，法律学书籍,196先生,https://www.ximalaya.com/album/71691952,free,1357,shangye,2022-10-17 22:44:19
《薛兆丰经济学讲义》晓书童解读,晓书童频道,https://www.ximalaya.com/album/36984410,free,1946000,shangye,2022-10-17 22:44:19
《股票大作手回忆录》,闪灼大小姐,https://www.ximalaya.com/album/6408976,free,6008000,shangye,2022-10-17 22:44:19
开店笔记 ▎开一家小而美的店,开店笔记开店做生意,https://www.ximalaya.com/album/4416809,free,89948000,shangye,2022-10-17 22:44:19
富爸爸：财务自由之路 世界观合集【官方正版】,_读书人俱乐部_,https://www.ximalaya.com/album/46359127,vip,6306000,shangye,2022-10-17 22:44:19
36氪·商业情报局（第二季）,36氪音频频道,https://www.ximalaya.com/album/36264240,free,3730000000,shangye,2022-10-17 22:44:19
老于每日谈A股,于冰yybh314,https://www.ximalaya.com/album/32824713,free,5676000,shangye,2022-10-17 22:44:19
今日股市 | 薪伊谈股票投资,薪伊Elaine,https://www.ximalaya.com/album/39426788,free,7939000,shangye,2022-10-17 22:44:19
财马早评 | 马红漫的市场早评,马红漫,https://www.ximalaya.com/album/56524850,free,57453000,shangye,2022-10-17 22:44:19
一学就会的基金定投课,上上学堂,https://www.ximalaya.com/album/22598904,free,39195000,shangye,2022-10-17 22:44:19
高情商销售技巧｜聊天沟通话术,涛哥讲营销,https://www.ximalaya.com/album/38600844,free,12323000,shangye,2022-10-17 22:44:19
清言友道：跟着经济学家看世界,管清友,https://www.ximalaya.com/album/50595738,free,3907000,shangye,2022-10-17 22:44:19
36氪·快讯不联播,36氪音频频道,https://www.ximalaya.com/album/8424399,free,1480000000,shangye,2022-10-17 22:44:19
涨停板复盘,水滴哥哥,https://www.ximalaya.com/album/33987452,free,6783000,shangye,2022-10-17 22:44:19
激荡三十年|吴晓波|中国企业在改革开放年代的发展之路,蓝狮子FM,https://www.ximalaya.com/album/22712549,vip,5373000,shangye,2022-10-17 22:44:19
秦朔朋友圈,秦朔朋友圈,https://www.ximalaya.com/album/3375687,free,1670000000,shangye,2022-10-17 22:44:19
开浩：博弈论诡计全集,开浩御书房,https://www.ximalaya.com/album/3060990,free,6506000,shangye,2022-10-17 22:44:19
雪球·六点半热评,雪球,https://www.ximalaya.com/album/36732632,free,10325000,shangye,2022-10-17 22:44:19
公司法大爆炸,张庚园律师,https://www.ximalaya.com/album/6211610,free,10217000,shangye,2022-10-17 22:44:19
老张聊股市丨复利投资（2022）,和讯说股市,https://www.ximalaya.com/album/44513641,free,3625000,shangye,2022-10-17 22:44:19
周文强财商思维精品课【千集连载】,周文强老师直播,https://www.ximalaya.com/album/26691495,free,7707000,shangye,2022-10-17 22:44:19
周文强老师《精讲财富思维》独播,周文强老师直播,https://www.ximalaya.com/album/32335669,free,5015000,shangye,2022-10-17 22:44:19
猩猩时间：宇宙第一硬核理财,猩猩财经,https://www.ximalaya.com/album/6855034,free,2658000,shangye,2022-10-17 22:44:19
周文强财商思维1000讲（精品必修课）,周文强财商精品必修课,https://www.ximalaya.com/album/49944716,free,2867000,shangye,2022-10-17 22:44:19
【第一季】吴晓波精讲50本商业经典,吴晓波频道,https://www.ximalaya.com/album/23571206,vip,17869000,shangye,2022-10-17 22:44:19
虎嗅·商业有味道,虎嗅APP,https://www.ximalaya.com/album/2823309,free,4100000000,shangye,2022-10-17 22:44:19
聪明的投资者（本杰明格雷厄姆著 亘古皓月演播）,亘古皓月,https://www.ximalaya.com/album/9030718,free,5827000,shangye,2022-10-17 22:44:19
疫情时期的新零售战略与实体店经营,昌达成长讲堂,https://www.ximalaya.com/album/70574358,limit free,2775,shangye,2022-10-17 22:44:19
肖星的财务课,肖星老师,https://www.ximalaya.com/album/8256297,vip,8266000,shangye,2022-10-17 22:44:19
【正版】彭道富《龙头、价值与赛道》,拈花成佛,https://www.ximalaya.com/album/70481925,paid,3231,shangye,2022-10-17 22:44:19
富爸爸穷爸爸 【官方正版】,_读书人俱乐部_,https://www.ximalaya.com/album/23109077,paid,2401000,shangye,2022-10-17 22:44:19
齐俊杰的投资书友会,齐俊杰看财经,https://www.ximalaya.com/album/36583865,paid,16691000,shangye,2022-10-17 22:44:19
陈海春：高层领导的人脉管理,中智信达频道,https://www.ximalaya.com/album/70341105,paid,5159,shangye,2022-10-17 22:44:19
华飞365天股市核心观点（XIMI专属）,华飞看盘,https://www.ximalaya.com/album/30971431,paid,2476000,shangye,2022-10-17 22:44:19
