title,abstract,url,source,date,crawl_time,search_word
低龄老人“主动健康”需跨越几道槛,“我们是低龄化为主的老龄化社会，这意味着这些老年人刚退休没多久，他们有更强烈的愿望去完成人生目标甚至为社会贡献力量，这就需要健康的体魄和生活状态作为基础。”近日在2022年全国老年健康宣传周活动上，复旦大学老龄研究院副院长、...,http://baijiahao.baidu.com/s?id=1743548524064043273&wfr=spider&for=pc,光明网,7小时前,2022-09-10 18:23:39,健康
湖北疾控健康提醒:中秋假期防疫不能放松,湖北疾控健康提醒：中秋假期防疫不能放松 中秋假期到来，人员流动将会明显增大，疫情传播风险也将随之增大。为有效控制疫情传播和扩散风险，助力广大居民朋友度过一个健康、平安、祥和的节日，湖北省疾控中心向全省居民发出健康提醒：一、非...,http://baijiahao.baidu.com/s?id=1743555455173794376&wfr=spider&for=pc,澎湃新闻客户端,7小时前,2022-09-10 18:23:39,健康
“名医珠海行 健康你我他” 珠海市中西医结合医院举行名中医健康...,值中秋佳节即将来临，9月8日，在珠海市卫生健康局的指导下，珠海市中西医结合医院第十一党支部“名医珠海行健康你我他”为主题的名中医健康大讲堂系列活动走进拱北街道将军山社区，此举...,https://baijiahao.baidu.com/s?id=1743573377334355261&wfr=spider&for=pc,中国新闻网,1小时前,2022-09-10 18:23:39,健康
"牵手社区,打造区域医学科普网络:“大虹桥·同仁荟”健康科普品牌...",今天恰逢中秋佳节，“大虹桥·同仁荟”健康科普盛典暨健康脱口秀能力培训会在上海市同仁医院举行，主题即“健康·幸福·欢乐”。2014年起，同仁医院开始组织专业健康科普讲师团，深入长...,http://baijiahao.baidu.com/s?id=1743576052577073094&wfr=spider&for=pc,上观新闻,29分钟前,2022-09-10 18:23:39,健康
全民健康生活方式月,全民健康生活方式月 九月是“全民健康生活方式月”，今年的主题为“三减三健，健康相伴”。为深入贯彻落实中国疾控中心“三减三健”活动要求，积极打造健康邹平，营造良好社会氛围，9月...,https://baijiahao.baidu.com/s?id=1743553459112815426&wfr=spider&for=pc,潇湘晨报,6小时前,2022-09-10 18:23:39,健康
"中秋佳节,这份健康小贴士请收好",中秋佳节，这份健康小贴士请收好 中秋节到啦！此时的上海，白天气温仍较高，午后多有阵雨、潮湿闷热，夜半明月当空、丝丝凉风袭来。在吃月饼、享受假期的同时，市健促中心为大家带来三点健康提示↓ 月饼好吃，并非人人适合 中秋节的主角...,http://baijiahao.baidu.com/s?id=1743546629430087235&wfr=spider&for=pc,光明网,8小时前,2022-09-10 18:23:39,健康
"健康过中秋,最不能忘记的就是这件事!【新型冠状病毒科普知识】(556)","保持健康的生活方式,规律作息,保证充足睡眠,清淡饮食。坚持适度锻炼身体,养成良好卫生习惯。多通风,多到户外空旷处适当活动,呼吸新鲜空气。 密切监测自己及家人的健康状况。如出现发热...",https://new.qq.com/rain/a/20220910A02L4K00,腾讯网,8小时前,2022-09-10 18:23:39,健康
青海省卫生健康委温馨提示,青海省卫生健康委温馨提示 原标题：青海省卫生健康委温馨提示 1.当前疫情防控形势依然严峻复杂。请坚持非必要不外出，倡导就地过节，就地休假。不组织各类聚集性活动，坚决做到不聚集、...,https://baijiahao.baidu.com/s?id=1743543329508375613&wfr=spider&for=pc,青瞳视角,9小时前,2022-09-10 18:23:39,健康
健康知识进万家|每个人都是自己健康第一责任人:自己才是健康的...,"建议根据自己的体质健康、运动能力等,确立一个能实现的锻炼目标,制订切实可行的锻炼计划。 心态平和 情志也是健康的重要组成部分。现代人生活压力大,焦虑、抑郁、愤怒等负面情绪经常入侵我们的日常生活,除了降低生活的幸福感,更会危害身体...",http://www.thepaper.cn/newsDetail_forward_19852016,澎湃新闻,7小时前,2022-09-10 18:23:39,健康
低龄老人“主动健康”需跨越几道槛,“我们是低龄化为主的老龄化社会，这意味着这些老年人刚退休没多久，他们有更强烈的愿望去完成人生目标甚至为社会贡献力量，这就需要健康的体魄和生活状态作为基础。”近日在2022年全国老年健康宣传周活动上，复旦大学老龄研究院副院长、...,http://baijiahao.baidu.com/s?id=1743548524064043273&wfr=spider&for=pc,光明网,7小时前,2022-09-10 18:23:40,健康
湖北疾控健康提醒:中秋假期防疫不能放松,湖北疾控健康提醒：中秋假期防疫不能放松 中秋假期到来，人员流动将会明显增大，疫情传播风险也将随之增大。为有效控制疫情传播和扩散风险，助力广大居民朋友度过一个健康、平安、祥和的节日，湖北省疾控中心向全省居民发出健康提醒：一、非...,http://baijiahao.baidu.com/s?id=1743555455173794376&wfr=spider&for=pc,澎湃新闻客户端,7小时前,2022-09-10 18:23:40,健康
“名医珠海行 健康你我他” 珠海市中西医结合医院举行名中医健康...,值中秋佳节即将来临，9月8日，在珠海市卫生健康局的指导下，珠海市中西医结合医院第十一党支部“名医珠海行健康你我他”为主题的名中医健康大讲堂系列活动走进拱北街道将军山社区，此举...,https://baijiahao.baidu.com/s?id=1743573377334355261&wfr=spider&for=pc,中国新闻网,1小时前,2022-09-10 18:23:40,健康
"牵手社区,打造区域医学科普网络:“大虹桥·同仁荟”健康科普品牌...",今天恰逢中秋佳节，“大虹桥·同仁荟”健康科普盛典暨健康脱口秀能力培训会在上海市同仁医院举行，主题即“健康·幸福·欢乐”。2014年起，同仁医院开始组织专业健康科普讲师团，深入长...,http://baijiahao.baidu.com/s?id=1743576052577073094&wfr=spider&for=pc,上观新闻,29分钟前,2022-09-10 18:23:40,健康
全民健康生活方式月,全民健康生活方式月 九月是“全民健康生活方式月”，今年的主题为“三减三健，健康相伴”。为深入贯彻落实中国疾控中心“三减三健”活动要求，积极打造健康邹平，营造良好社会氛围，9月...,https://baijiahao.baidu.com/s?id=1743553459112815426&wfr=spider&for=pc,潇湘晨报,6小时前,2022-09-10 18:23:40,健康
"中秋佳节,这份健康小贴士请收好",中秋佳节，这份健康小贴士请收好 中秋节到啦！此时的上海，白天气温仍较高，午后多有阵雨、潮湿闷热，夜半明月当空、丝丝凉风袭来。在吃月饼、享受假期的同时，市健促中心为大家带来三点健康提示↓ 月饼好吃，并非人人适合 中秋节的主角...,http://baijiahao.baidu.com/s?id=1743546629430087235&wfr=spider&for=pc,光明网,8小时前,2022-09-10 18:23:40,健康
"健康过中秋,最不能忘记的就是这件事!【新型冠状病毒科普知识】(556)","保持健康的生活方式,规律作息,保证充足睡眠,清淡饮食。坚持适度锻炼身体,养成良好卫生习惯。多通风,多到户外空旷处适当活动,呼吸新鲜空气。 密切监测自己及家人的健康状况。如出现发热...",https://new.qq.com/rain/a/20220910A02L4K00,腾讯网,8小时前,2022-09-10 18:23:40,健康
青海省卫生健康委温馨提示,青海省卫生健康委温馨提示 原标题：青海省卫生健康委温馨提示 1.当前疫情防控形势依然严峻复杂。请坚持非必要不外出，倡导就地过节，就地休假。不组织各类聚集性活动，坚决做到不聚集、...,https://baijiahao.baidu.com/s?id=1743543329508375613&wfr=spider&for=pc,青瞳视角,9小时前,2022-09-10 18:23:40,健康
健康知识进万家|每个人都是自己健康第一责任人:自己才是健康的...,"建议根据自己的体质健康、运动能力等,确立一个能实现的锻炼目标,制订切实可行的锻炼计划。 心态平和 情志也是健康的重要组成部分。现代人生活压力大,焦虑、抑郁、愤怒等负面情绪经常入侵我们的日常生活,除了降低生活的幸福感,更会危害身体...",http://www.thepaper.cn/newsDetail_forward_19852016,澎湃新闻,7小时前,2022-09-10 18:23:40,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,"2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块,请广大应试人员及时登录司法部官网(http://www.moj.gov.cn)或司法部微信公众号,完成考前7天自我健康状况监测及健康信息填报。 如有发热、咳嗽等呼吸道症...",http://www.thepaper.cn/newsDetail_forward_19852614,澎湃新闻,9小时前,2022-09-10 18:23:40,健康
湖北疾控健康提醒:中秋假期防疫不能放松,中秋假期到来，人员流动将会明显增大，疫情传播风险也将随之增大。为有效控制疫情传播和扩散风险，助力广大居民朋友度过一个健康、平安、祥和的节日，湖北省疾控中心向全省居民发出健康提醒：一、非必要不去中高风险地区和有病例报告的地区 ...,http://baijiahao.baidu.com/s?id=1743555455173794376&wfr=spider&for=pc,澎湃新闻客户端,8小时前,2022-09-10 19:24:38,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块，请广大应试人员及时登录司法部官网（http://www.moj.gov.cn）或司法部微信公众号，完成考前7天自我健康状况监测及健康信息填报。如有发热、咳嗽等呼吸道...,http://baijiahao.baidu.com/s?id=1743555771715559413&wfr=spider&for=pc,澎湃新闻客户端,10小时前,2022-09-10 19:24:38,健康
低龄老人“主动健康”需跨越几道槛?,"低龄老人“主动健康”需跨越几道槛? 60岁到69岁的低龄老人占60岁以上老年人口的一半多,引导低龄老人做好健康管理,有利于提升老年人整体健康水平。专家表示,老人应该树立积极的养老观,通过运动控制体重、主动参与社区活动、学习等促进健康长...",http://news.cnr.cn/native/gd/20220910/t20220910_526004793.shtml,央广网,10小时前,2022-09-10 19:24:38,健康
"健康过节,最应该注意这4个问题!",首先，日常生活保持良好的卫生习惯。饭前便后以及外出回来一定要洗手；勤换、勤洗、勤晒衣服、被褥；经常开窗通气，保持室内空气流通；不随地吐痰，少去人多拥挤的公共场所；及时增减衣...,http://baijiahao.baidu.com/s?id=1743568652649480303&wfr=spider&for=pc,光明网,3小时前,2022-09-10 19:24:38,健康
全民健康生活方式月,全民健康生活方式月 九月是“全民健康生活方式月”，今年的主题为“三减三健，健康相伴”。为深入贯彻落实中国疾控中心“三减三健”活动要求，积极打造健康邹平，营造良好社会氛围，9月...,https://baijiahao.baidu.com/s?id=1743553459112815426&wfr=spider&for=pc,潇湘晨报,7小时前,2022-09-10 19:24:38,健康
青海省卫生健康委温馨提示,2.当前疫情尚未结束，解“静”不等于解防。近期倡导“喜事缓办、丧事简办、宴会不办”，尽量不走亲、不访友，不前往人员密集和密闭场所，有效降低人员聚集风险。3.每个人是自己健康的第...,https://baijiahao.baidu.com/s?id=1743543329508375613&wfr=spider&for=pc,青瞳视角,10小时前,2022-09-10 19:24:38,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,"2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块,请广大应试人员及时登录司法部官网(http://www.moj.gov.cn)或司法部微信公众号,完成考前7天自我健康状况监测及健康信息填报。 如有发热、咳嗽等呼吸道症...",http://www.thepaper.cn/newsDetail_forward_19852614,澎湃新闻,10小时前,2022-09-10 19:24:38,健康
"健康过中秋,最不能忘记的就是这件事!【新型冠状病毒科普知识】(556)","密切监测自己及家人的健康状况。如出现发热、干咳等可疑症状,应尽快到就近的医疗机构就诊。 接种疫苗护安全 接种新冠病毒疫苗是有效防护的手段。没有接种疫苗的人群要尽快接种疫苗,没有...",https://xw.qq.com/cmsid/20220910A02L4K00,腾讯网,9小时前,2022-09-10 19:24:38,健康
"中秋至,给您送上一份健康提示→","健康快乐过佳节 1.做好出行前准备 假期期间尽量减少非必要出行,如外出,要了解目的地近期疫情发生情况及当地防控政策,取消前往中高风险地区的出行计划,出行前准备好口罩、手消等防护用品。 2.做好在旅途中的防护 乘坐飞机或者火车等公共...",http://www.thepaper.cn/newsDetail_forward_19853877,澎湃新闻,7小时前,2022-09-10 19:24:38,健康
西宁这十年|立足群众健康需求 持续提升健康获得感幸福感安全感,人民网西宁9月10日电 (杨启红)“深化综合医改，群众看病就医经济负担明显减轻；夯实基本医疗，群众就医的便捷性可及性明显改善；突出关口前移，群众生命健康安全得到明显保障；推进健康西宁，群众健康获得感幸福感得到明显提升。”9月9日，...,https://baijiahao.baidu.com/s?id=1743568086283927126&wfr=spider&for=pc,金台资讯,3小时前,2022-09-10 19:24:38,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,@法考生 9月10日起法考“每日健康打卡”模块上线 2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块，请广大应试人员及时登录司法部官网（http://www.moj.gov.cn）或司法部微信公众号，完成考前7天自我...,http://baijiahao.baidu.com/s?id=1743555771715559413&wfr=spider&for=pc,澎湃新闻客户端,10小时前,2022-09-10 19:24:39,健康
低龄老人“主动健康”需跨越几道槛?,"60岁到69岁的低龄老人占60岁以上老年人口的一半多,引导低龄老人做好健康管理,有利于提升老年人整体健康水平。专家表示,老人应该树立积极的养老观,通过运动控制体重、主动参与社区活动、学习等促进健康长寿。",http://news.cnr.cn/native/gd/20220910/t20220910_526004793.shtml,央广网,10小时前,2022-09-10 19:24:39,健康
"健康过节,最应该注意这4个问题!",健康过节，最应该注意这4个问题！01. 享美食，要节制 每次过节都是消化道疾病的多发期。那如何在享受美食的同时保证健康呢？第一是注意卫生。如果是外出就餐，要选择正规且卫生条件好...,http://baijiahao.baidu.com/s?id=1743568652649480303&wfr=spider&for=pc,光明网,3小时前,2022-09-10 19:24:39,健康
全民健康生活方式月,全民健康生活方式月 九月是“全民健康生活方式月”，今年的主题为“三减三健，健康相伴”。为深入贯彻落实中国疾控中心“三减三健”活动要求，积极打造健康邹平，营造良好社会氛围，9月...,https://baijiahao.baidu.com/s?id=1743553459112815426&wfr=spider&for=pc,潇湘晨报,7小时前,2022-09-10 19:24:39,健康
青海省卫生健康委温馨提示,青海省卫生健康委温馨提示 原标题：青海省卫生健康委温馨提示 1.当前疫情防控形势依然严峻复杂。请坚持非必要不外出，倡导就地过节，就地休假。不组织各类聚集性活动，坚决做到不聚集、...,https://baijiahao.baidu.com/s?id=1743543329508375613&wfr=spider&for=pc,青瞳视角,10小时前,2022-09-10 19:24:39,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,"2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块,请广大应试人员及时登录司法部官网(http://www.moj.gov.cn)或司法部微信公众号,完成考前7天自我健康状况监测及健康信息填报。 如有发热、咳嗽等呼吸道症...",http://www.thepaper.cn/newsDetail_forward_19852614,澎湃新闻,10小时前,2022-09-10 19:24:39,健康
"健康过中秋,最不能忘记的就是这件事!【新型冠状病毒科普知识】(556)","保持健康的生活方式,规律作息,保证充足睡眠,清淡饮食。坚持适度锻炼身体,养成良好卫生习惯。多通风,多到户外空旷处适当活动,呼吸新鲜空气。 密切监测自己及家人的健康状况。如出现发热...",https://xw.qq.com/cmsid/20220910A02L4K00,腾讯网,9小时前,2022-09-10 19:24:39,健康
"中秋至,给您送上一份健康提示→","健康快乐过佳节 1.做好出行前准备 假期期间尽量减少非必要出行,如外出,要了解目的地近期疫情发生情况及当地防控政策,取消前往中高风险地区的出行计划,出行前准备好口罩、手消等防护用品。 2.做好在旅途中的防护 乘坐飞机或者火车等公共...",http://www.thepaper.cn/newsDetail_forward_19853877,澎湃新闻,7小时前,2022-09-10 19:24:39,健康
西宁这十年|立足群众健康需求 持续提升健康获得感幸福感安全感,人民网西宁9月10日电 (杨启红)“深化综合医改，群众看病就医经济负担明显减轻；夯实基本医疗，群众就医的便捷性可及性明显改善；突出关口前移，群众生命健康安全得到明显保障；推进健康西宁，群众健康获得感幸福感得到明显提升。”9月9日，...,https://baijiahao.baidu.com/s?id=1743568086283927126&wfr=spider&for=pc,金台资讯,3小时前,2022-09-10 19:24:39,健康
“名医珠海行 健康你我他” 珠海市中西医结合医院举行名中医健康...,值中秋佳节即将来临，9月8日，在珠海市卫生健康局的指导下，珠海市中西医结合医院第十一党支部“名医珠海行健康你我他”为主题的名中医健康大讲堂系列活动走进拱北街道将军山社区，此举...,https://baijiahao.baidu.com/s?id=1743573377334355261&wfr=spider&for=pc,中国新闻网,2小时前,2022-09-10 19:24:39,健康
低龄老人“主动健康”需跨越几道槛?,"60岁到69岁的低龄老人占60岁以上老年人口的一半多,引导低龄老人做好健康管理,有利于提升老年人整体健康水平。专家表示,老人应该树立积极的养老观,通过运动控制体重、主动参与社区活动、学习等促进健康长寿。",http://news.cnr.cn/native/gd/20220910/t20220910_526004793.shtml,央广网,10小时前,2022-09-10 19:24:40,健康
"健康过节,最应该注意这4个问题!",健康过节，最应该注意这4个问题！01. 享美食，要节制 每次过节都是消化道疾病的多发期。那如何在享受美食的同时保证健康呢？第一是注意卫生。如果是外出就餐，要选择正规且卫生条件好...,http://baijiahao.baidu.com/s?id=1743568652649480303&wfr=spider&for=pc,光明网,3小时前,2022-09-10 19:24:40,健康
全民健康生活方式月,全民健康生活方式月 九月是“全民健康生活方式月”，今年的主题为“三减三健，健康相伴”。为深入贯彻落实中国疾控中心“三减三健”活动要求，积极打造健康邹平，营造良好社会氛围，9月...,https://baijiahao.baidu.com/s?id=1743553459112815426&wfr=spider&for=pc,潇湘晨报,7小时前,2022-09-10 19:24:40,健康
青海省卫生健康委温馨提示,青海省卫生健康委温馨提示 原标题：青海省卫生健康委温馨提示 1.当前疫情防控形势依然严峻复杂。请坚持非必要不外出，倡导就地过节，就地休假。不组织各类聚集性活动，坚决做到不聚集、...,https://baijiahao.baidu.com/s?id=1743543329508375613&wfr=spider&for=pc,青瞳视角,10小时前,2022-09-10 19:24:40,健康
@法考生 9月10日起法考“每日健康打卡”模块上线,"2022年国家统一法律职业资格考试网上报名系统将于9月10日上线“每日健康打卡”模块,请广大应试人员及时登录司法部官网(http://www.moj.gov.cn)或司法部微信公众号,完成考前7天自我健康状况监测及健康信息填报。 如有发热、咳嗽等呼吸道症...",http://www.thepaper.cn/newsDetail_forward_19852614,澎湃新闻,10小时前,2022-09-10 19:24:40,健康
"健康过中秋,最不能忘记的就是这件事!【新型冠状病毒科普知识】(556)","保持健康的生活方式,规律作息,保证充足睡眠,清淡饮食。坚持适度锻炼身体,养成良好卫生习惯。多通风,多到户外空旷处适当活动,呼吸新鲜空气。 密切监测自己及家人的健康状况。如出现发热...",https://xw.qq.com/cmsid/20220910A02L4K00,腾讯网,9小时前,2022-09-10 19:24:40,健康
"中秋至,给您送上一份健康提示→","健康快乐过佳节 1.做好出行前准备 假期期间尽量减少非必要出行,如外出,要了解目的地近期疫情发生情况及当地防控政策,取消前往中高风险地区的出行计划,出行前准备好口罩、手消等防护用品。 2.做好在旅途中的防护 乘坐飞机或者火车等公共...",http://www.thepaper.cn/newsDetail_forward_19853877,澎湃新闻,7小时前,2022-09-10 19:24:40,健康
西宁这十年|立足群众健康需求 持续提升健康获得感幸福感安全感,人民网西宁9月10日电 (杨启红)“深化综合医改，群众看病就医经济负担明显减轻；夯实基本医疗，群众就医的便捷性可及性明显改善；突出关口前移，群众生命健康安全得到明显保障；推进健康西宁，群众健康获得感幸福感得到明显提升。”9月9日，...,https://baijiahao.baidu.com/s?id=1743568086283927126&wfr=spider&for=pc,金台资讯,3小时前,2022-09-10 19:24:40,健康
“名医珠海行 健康你我他” 珠海市中西医结合医院举行名中医健康...,值中秋佳节即将来临，9月8日，在珠海市卫生健康局的指导下，珠海市中西医结合医院第十一党支部“名医珠海行健康你我他”为主题的名中医健康大讲堂系列活动走进拱北街道将军山社区，此举...,https://baijiahao.baidu.com/s?id=1743573377334355261&wfr=spider&for=pc,中国新闻网,2小时前,2022-09-10 19:24:40,健康
关于开展2022年“服务百姓健康行动”全国大型义诊活动周的通知,"根据工作安排,国家卫生健康委、国家中医药局、中央军委后勤保障部卫生局决定开展2022年“服务百姓健康行动”全国大型义诊活动周。现将《2022年“服务百姓健康行动”全国大型义诊活动周实施方案》印发给你们,请认真贯彻落实。,2022-09-10-11...",https://www.gov.cn/zhengce/zhengceku/2022-09/10/content_5709273.htm,中国政府网,8小时前,2022-09-10 19:24:40,健康
